fips,rate
38101,297.93
38103,297.93
38105,297.93
39001,268.75
39003,263.50
39005,253.89
39007,240.52
39009,348.48
39011,263.50
39013,272.31
39015,268.75
39017,230.30
39019,254.44
39021,260.94
39023,260.94
39025,268.75
39027,268.75
39029,285.52
39031,272.31
39033,299.14
39035,240.52
39037,260.94
39039,235.06
39041,259.82
39043,248.54
39045,259.82
39047,259.82
39049,259.82
39051,235.06
39053,318.47
39055,240.52
39057,260.94
39059,272.31
39061,230.30
39063,263.50
39065,263.50
39067,272.31
39069,235.06
39071,268.75
39073,348.48
39075,277.94
39077,248.54
39079,318.47
39081,272.31
39083,259.82
39085,240.52
39087,318.47
39089,259.82
39091,259.82
39093,240.52
39095,235.06
39097,259.82
39099,285.52
39101,259.82
39103,253.89
39105,348.48
39107,263.50
39109,260.94
39111,272.31
39113,260.94
39115,272.31
39117,259.82
39119,272.31
39121,272.31
39123,248.54
39125,263.50
39127,272.31
39129,259.82
39131,318.47
39133,253.89
39135,260.94
39137,263.50
39139,299.14
39141,318.47
39143,248.54
39145,318.47
39147,248.54
39149,260.94
39151,254.44
39153,253.89
39155,285.52
39157,272.31
39159,259.82
39161,263.50
39163,318.47
39165,230.30
39167,348.48
39169,277.94
39171,235.06
39173,235.06
39175,248.54
40001,209.68
40003,209.68
40005,209.68
40007,209.68
40009,209.68
40011,209.68
40013,209.68
40015,209.68
40017,213.26
40019,209.68
40021,209.68
40023,209.68
40025,209.68
40027,213.26
40029,209.68
40031,205.64
40033,209.68
40035,209.68
40037,217.08
40039,209.68
40041,209.68
40043,209.68
40045,209.68
40047,209.68
40049,209.68
40051,213.26
40053,209.68
40055,209.68
40057,209.68
40059,209.68
40061,209.68
40063,209.68
40065,209.68
40067,209.68
40069,209.68
40071,209.68
40073,209.68
40075,209.68
40077,209.68
40079,248.69
40081,213.26
40083,213.26
40085,209.68
40087,213.26
40089,209.68
40091,209.68
40093,209.68
40095,209.68
40097,209.68
40099,209.68
40101,209.68
40103,209.68
40105,209.68
40107,209.68
40109,213.26
40111,217.08
40113,217.08
40115,209.68
40117,217.08
40119,209.68
40121,209.68
40123,209.68
40125,209.68
40127,209.68
40129,209.68
40131,217.08
40133,209.68
40135,248.69
40137,209.68
40139,209.68
40141,209.68
40143,217.08
40145,217.08
40147,209.68
40149,209.68
40151,209.68
40153,209.68
41001,226.00
41003,222.00
41005,211.95
41007,226.00
41009,226.00
41011,226.00
41013,226.00
41015,226.00
41017,233.00
41019,222.00
41021,226.00
41023,226.00
41025,226.00
41027,226.00
41029,222.00
41031,226.00
41033,222.00
41035,233.00
41037,233.00
41039,222.00
41041,226.00
41043,222.00
41045,226.00
41047,222.00
41049,226.00
41051,211.95
41053,222.00
41055,226.00
41057,226.00
41059,226.00
41061,226.00
41063,226.00
41065,226.00
41067,211.95
41069,226.00
41071,211.95
42001,230.96
42003,167.07
42005,167.07
42007,167.07
42009,184.97
42011,230.96
42013,184.97
42015,231.48
42017,260.84
42019,167.07
42021,184.97
42023,184.97
42025,231.48
42027,198.32
42029,260.84
42031,167.07
42033,184.97
42035,231.48
42037,198.32
42039,167.07
42041,214.34
42043,214.34
42045,260.84
42047,184.97
42049,167.07
42051,167.07
42053,167.07
42055,214.34
42057,214.34
42059,167.07
42061,184.97
42063,167.07
42065,184.97
42067,214.34
42069,231.48
42071,230.96
42073,167.07
42075,214.34
42077,198.32
42079,231.48
42081,231.48
42083,167.07
42085,167.07
42087,198.32
42089,231.48
42091,260.84
42093,198.32
42095,198.32
42097,198.32
42099,214.34
42101,260.84
42103,231.48
42105,184.97
42107,198.32
42109,198.32
42111,184.97
42113,231.48
42115,231.48
42117,231.48
42119,198.32
42121,167.07
42123,167.07
42125,167.07
42127,231.48
42129,167.07
42131,231.48
42133,230.96
44001,
44003,
44005,
44007,
44009,
45001,272.80
45003,301.93
45005,280.67
45007,288.39
45009,237.91
45011,305.68
45013,226.87
45015,237.91
45017,237.91
45019,237.91
45021,271.50
45023,282.34
45025,279.13
45027,267.61
45029,237.91
45031,279.55
45033,286.23
45035,237.91
45037,295.40
45039,268.93
45041,279.55
45043,261.05
45045,268.72
45047,295.72
45049,226.87
45051,261.05
45053,226.87
45055,268.93
45057,282.19
45059,268.72
45061,279.55
45063,268.93
45065,287.84
45067,286.23
45069,289.57
45071,268.93
45073,288.39
45075,237.91
45077,288.39
45079,268.93
45081,272.80
45083,265.63
45085,268.93
45087,266.28
45089,290.68
45091,282.19
46003,263.87
46005,253.27
46007,263.87
46009,263.87
46011,253.27
46013,253.27
46015,263.87
46017,263.87
